epoch,train_loss,val_loss,val_mae,val_rmse
1,0.3391581749447019,0.36393122840173203,0.40458030112821436,0.5576998808434582
2,0.31447593737643875,0.36217642730076766,0.39708110817996406,0.5503077277411362
3,0.3077973223893748,0.3671905981179753,0.40079615494514886,0.5560276763195184
4,0.30232119158396564,0.34601626915242173,0.38306303082221416,0.5393678740264776
5,0.2993856877260153,0.3852314091603456,0.4242992012049604,0.5736234962134575
6,0.29472053362746614,0.38411085497499203,0.43720209526289333,0.5823548741413273
7,0.2947145756083807,0.3475339264604724,0.3910990510982292,0.5439319139167849
8,0.2910682602630009,0.37895319677811024,0.42595060833071824,0.5714893722273305
9,0.2793329424026374,0.3464769241834654,0.3894971642683975,0.5412607338520059
10,0.2744987447551253,0.34516293914999424,0.39002641672306476,0.5415358942124343
11,0.271535331980395,0.3640960420413325,0.41568240706206033,0.5614416698891829
12,0.26947290958003667,0.3504103866322464,0.3962667283007219,0.5453500389362246
13,0.2668729446499453,0.33644284329376517,0.3855450699140626,0.5339570867992272
14,0.26523993260114526,0.33909252799713313,0.3832006610800488,0.5339375346214877
15,0.2628637269968721,0.35032078918533965,0.39741285244709074,0.5466556917237407
16,0.26016386871488906,0.3543574439880802,0.3965524422511142,0.5474194303855086
17,0.2593741849379439,0.348641971960213,0.3919317338234415,0.540878943531484
18,0.2518664106097423,0.33525934728448725,0.38073441317807294,0.5300949519986479
19,0.2504255542971351,0.35196174906574335,0.39895134264628435,0.5455892200992742
20,0.24822522027707603,0.34499079866921845,0.3853617603687789,0.5362570961512508
